plate,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw
283,51959,128,0.06886408,176.16031,-1.0672529,442.5144,106.3302,69.93301,133.2758,12.81509,82.63136,60.71649,-55.10712
283,51959,407,0.0750403,175.64546,1.2518338,107.2316,11.37251,13.08298,59.43246,9.206443,25.91413,19.38535,-9.086567
283,51959,559,0.1062639,176.97175,0.0064841064,239.2995,63.06319,40.3899,118.582,13.36882,45.94975,29.33068,-17.98032
283,51959,637,0.1702913,177.36036,0.0086981783,87.9406,23.89298,0.6473958,39.07744,6.619709,18.79319,10.81916,-10.48625
284,51943,4,0.1207669,179.05495,-0.98493349,62.73979,11.69947,51.6016,76.80355,5.582872,9.678086,14.83464,-5.309143
284,51943,173,0.02638165,178.22624,-0.23572135,86.54099,34.76387,49.54523,11.39666,3.308373,19.15452,12.71379,-26.12855
284,51943,212,0.1074959,177.75138,-0.79286977,173.794,44.8129,17.43227,94.4978,6.453395,42.42416,30.78006,-12.67922
284,51943,218,0.08199915,177.77913,-0.77102404,248.0966,60.24132,14.62114,114.5747,5.7613,40.91627,22.79496,-16.88253
284,51943,304,0.1347499,177.46038,-0.40425903,90.34917,20.66983,34.78325,51.04293,5.411562,19.51165,8.548285,-7.003651
284,51943,331,0.1328388,177.31111,0.97271467,161.9624,40.52097,28.11086,41.84682,5.440917,30.44583,17.26791,-43.53357
284,51943,362,0.1559146,177.40563,0.98001354,55.04064,9.480731,4.451966,17.8099,0.7497,6.098463,7.919523,-9.333164
284,51943,408,0.04681119,177.82075,1.1549304,1175.577,354.7155,1194.687,98.07726,31.09642,137.8498,102.2549,-115.7133
285,51930,69,0.01960378,180.46194,-0.65542874,37.04386,13.7807,9.439307,7.671477,3.815849,13.23772,8.191214,-12.3725
285,51930,363,0.07864468,179.42959,1.13365,32.80454,9.374356,3.958672,11.84129,0.4718108,552.3536,5.390591,-11.02092
285,51930,481,0.1029183,179.93475,0.63539257,105.6982,26.89304,28.31411,114.1651,13.34293,41.51733,32.41381,-4.714689
285,51930,486,0.1080196,179.89576,0.34331838,154.4589,28.09074,9.044662,62.2779,6.290904,26.27779,21.35668,-25.46017
286,51999,108,0.2032505,181.88503,-0.33765057,126.4884,21.78749,6.572396,45.04008,4.037048,13.00519,8.078495,-13.66807
286,51999,147,0.09423247,181.70512,-0.37906309,85.50239,15.4739,15.00317,59.25623,8.681201,22.33626,8.918187,-7.571819
286,51999,168,0.1305513,181.40336,-0.14052193,51.671,7.573833,7.517659,20.94865,2.740755,6.238483,5.514864,-7.665137
286,51999,197,0.004476327,181.36108,-0.28227192,27.19668,10.17859,13.62969,1.826854,2.037483,6.179995,2.867087,-6.647008
286,51999,349,0.0857684,179.99999,0.41492783,25.67059,8.522893,14.74542,40.50173,3.336826,16.54924,14.67263,-1.256261
286,51999,386,0.08308575,180.96343,0.306073,133.0183,24.69076,7.547795,68.98495,10.02333,21.73245,15.04677,-11.76563
286,51999,405,0.08260839,180.99693,1.241992,168.9921,44.16611,54.48211,51.06177,7.003085,33.1882,28.29112,-28.92423
286,51999,447,0.07810145,181.39721,1.0789919,35.57238,7.033827,19.59367,60.21138,6.101036,17.11877,4.956518,-1.579568
287,52023,46,0.0795421,183.96942,-1.2039859,87.65972,21.02796,8.82316,30.60805,3.342159,17.10127,13.10659,-11.2019
287,52023,337,0.0948646,181.90278,0.79679865,325.8055,52.21452,11.26692,126.8071,15.32441,58.76314,42.0787,-20.19785
287,52023,353,0.1605448,181.75536,0.37250624,81.68523,16.5749,3.917277,25.62053,5.115529,14.3924,9.873803,-11.60767
287,52023,386,0.09549232,182.18677,0.20598349,39.65514,8.538345,12.17409,34.50629,3.626356,15.80007,8.126339,-2.273002
287,52023,497,0.02097693,183.25125,0.043752428,71.52011,22.74511,33.83376,9.35469,5.638205,17.552,12.36112,-15.30852
287,52023,567,0.09969272,183.79651,0.82018368,78.88706,23.3775,19.11347,32.14448,4.530951,14.84348,15.28041,-4.926963
287,52023,608,0.04802909,184.01431,0.99142816,296.3385,66.3496,47.03877,151.2101,12.34068,68.42347,50.63776,-11.11759
287,52023,635,0.07275175,184.61392,-0.0027525524,431.6008,107.3584,60.11132,120.0655,14.17514,87.86139,58.7889,-45.46479
288,52000,70,0.1567557,185.42149,-0.52643305,78.95074,14.73552,83.6266,114.1092,7.988481,28.01282,24.04538,-4.785294
288,52000,192,0.1234127,184.64438,-0.42955988,656.3,134.3174,23.63193,281.909,14.28363,83.6795,69.55743,-41.57421
288,52000,230,0.02113602,184.47821,-0.74473846,37.69991,12.45959,17.53238,1.850978,2.861833,8.639151,4.681347,-16.6406
288,52000,246,0.03975241,184.44149,-1.0087456,67.97824,16.9867,8.881737,24.08722,0.6796859,17.5655,12.43128,-12.22297
288,52000,265,0.1222078,184.11145,-0.64277475,14.80356,1.049687,8.478372,16.78333,3.779009,6.60872,6.189351,-2.155496
288,52000,312,0.123952,183.74599,-0.7486712,155.9689,30.98405,7.627262,55.08382,5.940245,27.41865,18.32819,-17.34533
288,52000,470,0.142073,184.79314,0.049727174,26.31249,4.802672,4.185706,15.29984,2.311011,7.179592,2.701028,-2.199685
288,52000,522,0.1024622,185.22386,0.60864716,57.12068,10.96271,13.83842,48.5262,4.480719,14.93469,5.079871,-10.5256
289,51990,92,0.1685579,187.14516,-0.96447601,33.74318,9.786391,10.49062,35.45924,5.180109,20.15244,13.86134,-2.021566
289,51990,503,0.1108766,187.07969,0.22911178,212.7307,42.51086,4.294235,87.71812,3.575337,28.11914,20.76613,-14.25069
289,51990,509,0.0229938,187.11303,0.14238911,51.68657,14.49775,7.61201,21.97014,0.4350243,14.31932,9.494854,-5.648632
289,51990,639,0.04366594,188.09272,0.01056557,871.7797,168.9522,226.3723,177.7617,21.48703,147.0169,103.7541,-89.2607
290,51941,33,0.08114978,190.10125,-0.3759827,90.27568,18.65412,10.65717,26.09365,4.101565,23.7242,10.07736,-18.8091
290,51941,253,0.07773563,188.63142,-0.76509879,267.4243,60.11514,46.09715,149.1927,5.870342,47.06592,37.21025,-9.585204
290,51941,345,0.0433136,187.74569,0.26307152,682.0596,183.946,109.923,192.1888,18.72684,153.2576,106.4904,-32.18626
290,51941,350,0.005192863,188.11549,0.3855222,286.3067,102.578,188.8063,30.02614,2.240088,31.95904,20.57305,-125.1488
290,51941,391,0.09126364,188.41004,0.33311879,1498.653,286.9133,57.01939,617.2693,35.72423,196.6727,145.8956,-40.47005
291,51928,74,0.08264649,191.80452,-0.34924656,131.8235,19.57739,22.06858,113.7954,15.11851,45.04082,37.70457,-3.667949
291,51928,228,0.1478117,190.68054,-0.37160144,241.0195,44.54073,16.6581,99.72955,7.655426,25.72211,19.67028,-18.61337
291,51928,479,0.09066956,190.79016,0.50944371,310.06,50.28781,21.28048,115.499,7.707675,41.98782,29.8797,-15.57732
291,51928,522,0.08974839,191.08448,1.0959644,45.83395,11.15898,16.15528,36.37119,3.938533,20.22635,5.092075,-1.566799
291,51928,524,0.08500534,191.10014,0.80604346,314.7294,85.08774,23.41959,102.7359,7.801843,57.91695,37.01196,-42.15321
291,51928,562,0.06554592,191.29204,1.0827374,53.33519,16.44535,12.53696,11.60458,4.04637,14.0384,8.861606,-12.64166
291,51928,585,0.07202478,191.64371,0.12886228,49.51328,13.72024,43.75038,46.99404,9.437057,9.626163,6.731627,-1.934789
292,51609,222,0.08408104,192.07756,-0.69716942,80.87685,19.68341,8.685894,50.20355,3.762213,15.74543,13.11527,-3.11399
292,51609,355,0.1324163,191.37643,0.26533941,3.384393,0.5264912,1.637681,2.542448,1.087819,8.114868,3.570508,-0.1213396
292,51609,633,0.04831485,193.65876,0.40982085,142.67,36.16766,10.42116,49.54075,3.239596,26.35501,15.95604,-12.72538
294,51986,13,0.02443011,197.42118,-1.0482723,61.70897,17.47176,11.13653,27.51631,0.3491085,11.71833,5.174141,-3.897719
294,51986,119,0.08409638,197.53385,-0.1826431,33.97965,13.72618,15.27535,15.06389,4.770907,11.7077,7.473852,-2.502912
294,51986,127,0.01865457,196.77353,-1.1768512,260.9524,64.21739,16.94653,90.94263,5.683212,46.27274,33.75005,-10.89944
294,51986,252,0.08290607,195.97858,-0.7800403,159.9617,45.95032,22.45076,51.47131,4.026471,33.7855,22.36433,-29.11635
294,51986,305,0.1894901,195.79844,-0.64825305,50.90549,7.287855,10.99662,35.2897,1.978412,13.70896,8.381042,-4.154774
295,51985,26,0.03234835,199.50553,-0.30189499,275.6874,82.43867,67.18649,62.14655,11.52514,70.03583,48.11731,-30.77906
295,51985,155,0.03855666,198.87381,-0.60717672,141.638,43.19043,55.69275,24.09072,4.22512,32.36953,21.71991,-26.60216
295,51985,218,0.08875424,198.0234,-0.91685555,260.8203,54.111,6.841385,98.95988,6.39267,37.04927,29.13949,-30.29582
295,51985,229,0.0831333,198.11982,-0.67865916,179.971,54.98117,68.16473,33.68607,5.443472,33.20282,23.15685,-32.93958
295,51985,361,0.08110743,197.97826,0.95378848,132.6671,26.48498,14.90211,63.99238,6.302151,30.15146,24.57417,-7.742054
295,51985,407,0.05361082,198.29295,0.97035412,322.6031,106.9224,249.5974,34.00783,10.39158,54.30005,38.81075,-70.74327
295,51985,616,0.1114868,198.94169,1.0567256,13.70555,4.974632,17.78668,16.45102,1.655246,7.340768,6.893171,-0.5380991
296,51984,112,0.07574287,200.47144,-0.2987791,483.5641,127.0412,72.84366,147.2811,15.93835,87.41007,60.75239,-34.42709
296,51984,322,0.1384645,199.25341,0.75158613,252.1743,53.45807,154.4737,136.3403,12.32931,47.79918,42.26398,-19.41539
296,51984,360,0.1097672,199.61182,0.56764828,197.6716,50.33543,21.52905,65.6775,9.36203,35.12384,28.47932,-30.07611
297,51959,13,0.08462927,202.30911,-1.2529209,155.4596,46.92719,33.48589,39.22569,4.74945,36.7639,19.02388,-23.25055
297,51959,133,0.2366222,201.53954,-0.69847983,203.0941,40.6023,7.300192,74.55708,5.51422,14.01049,13.28596,-20.88403
297,51959,203,0.08617965,201.30975,-1.0111034,339.9848,78.70499,23.18547,165.5994,10.42614,63.89739,52.79554,-18.59256
297,51959,225,0.08218509,201.14378,-0.22246899,72.89799,20.15006,5.008898,28.27322,1.30177,14.04216,9.530716,-8.512068
