#Table1
plate,mjd,fiberid,z,ra,dec,h_beta_flux,h_beta_eqw,oiii_5007_flux,h_gamma_flux,ratio_oiii_hbeta,ratio_hbeta_hgamma,ratio_oiii_hgamma,approx_ebv_sfd,fwhm_hbeta_kms
2276,53712,159,0.2106588,128.89497,16.229373,217.2242,-14.29457,75.07287,102.0328,0.3456009,2.128965,0.7357721,0.02619157,1177.41002251547
2229,53823,233,0.2301317,182.69016,27.426803,433.4241,-6.359195,249.4903,241.5061,0.5756261,1.794671,1.03306,0.01880567,1177.41002251547
2478,54097,474,0.2677537,160.94307,20.693989,173.5592,-17.08051,67.07367,63.06056,0.3864599,2.752262,1.063639,0.02198505,1177.41002251547
2496,54178,513,0.06023635,170.62355,21.804329,412.4097,-7.308821,162.3832,189.7243,0.3937424,2.173731,0.8558901,0.01552609,1177.41002251547
2500,54178,354,0.1959687,170.90225,21.870779,495.8443,-23.2407,165.4863,215.0316,0.3337464,2.305914,0.7695906,0.01694244,1177.41002251547
2770,54510,433,0.1965366,208.95919,20.770705,4131.215,-18.49032,1147.471,1683.841,0.2777563,2.453447,0.6814605,0.01944784,1177.41002251547
2771,54527,71,0.2015326,212.59207,20.248843,351.5498,-14.12495,868.6057,173.3156,2.470789,2.028379,5.011699,0.03894443,1177.41002251547
2781,54266,178,0.1540723,231.25713,16.063896,441.7367,-23.98206,110.0617,196.1045,0.2491569,2.252558,0.5612403,0.03737842,1177.41002251547
2493,54115,81,0.1100874,169.53685,23.422976,474.2787,-10.26964,755.7546,234.6048,1.593482,2.021607,3.221395,0.01565676,1177.41002251547
2756,54508,228,0.1514729,208.64872,18.088195,2094.599,-12.24226,795.2568,1049.898,0.3796702,1.995049,0.7574607,0.01604202,1177.41002251547
1920,53314,269,0.1352796,116.99434,17.834996,292.324,-16.07432,214.0851,99.37567,0.7323553,2.941606,2.1543,0.03477399,1177.41002251547
499,51988,243,0.1605999,215.69079,63.127557,490.5209,-10.10464,273.1558,244.177,0.5568687,2.008875,1.11868,0.01584937,1177.41002251547
607,52368,625,0.2755408,220.05318,61.942517,1777.994,-26.61959,875.6961,783.0153,0.4925191,2.270702,1.118364,0.01663364,1177.41002251547
608,52081,569,0.2965274,222.92842,61.129961,491.3932,-13.93147,162.9134,176.0564,0.3315337,2.791112,0.9253479,0.007743027,1177.41002251547
312,51689,570,0.2082844,229.69354,1.2308598,284.4954,-18.36827,215.2782,110.3388,0.7567018,2.578379,1.951064,0.04428867,1177.41002251547
2953,54560,258,0.2259379,230.30851,1.2519122,239.8505,-14.1799,488.9185,105.134,2.03843,2.281379,4.650432,0.04343632,1177.41002251547
2954,54561,219,0.2393408,232.52628,1.1072214,153.2063,-20.57602,73.0916,50.6947,0.4770797,3.022136,1.4418,0.04250575,1177.41002251547
751,52251,335,0.1161676,0.91227265,16.039058,462.2925,-12.62185,279.6424,213.1992,0.6049036,2.168359,1.311648,0.03637797,1177.41002251547
599,52317,428,0.2368957,182.01146,65.543985,817.2561,-18.47447,304.7949,391.7597,0.3729491,2.086116,0.7780148,0.01434905,1177.41002251547
765,52254,290,0.1199349,135.11242,48.499402,351.7676,-10.48825,580.296,195.7813,1.649657,1.796737,2.964001,0.02085155,1177.41002251547
785,52339,496,0.1513604,203.37066,61.587085,309.097,-13.20889,65.35013,132.1518,0.2114227,2.338954,0.4945079,0.01441156,1177.41002251547
777,52320,89,0.2917841,178.23015,61.101336,223.4583,-13.10738,170.6543,113.1519,0.7636963,1.974852,1.508187,0.03928175,1177.41002251547
